AccountID,tx_count,amount_sum,amount_mean,amount_median,amount_max,amount_std,amount_p95,amount_p99,balance_mean,balance_min,ratio_mean,ratio_p95,unique_merchants,unique_locations,unique_devices,unique_ips,channel_nunique,login_attempts_max,login_attempts_mean,duration_mean,duration_p95,first_tx_date,last_tx_date,active_days,share_atm,share_branch,share_online
AC00001,2,260.76,130.38,130.38,212.97,116.79989811639392,204.71099999999998,211.3182,2915.16,1649.92,0.03995496319304634,0.04984589341048111,2,2,2,2,2,1,1.0,107.5,170.95,2023-09-15 17:00:20,2023-11-14 16:56:34,60,0.0,0.5,0.5
AC00002,7,2056.21,293.7442857142857,331.66,516.47,195.69509079663897,504.626,514.1012000000001,4480.421428571429,1154.48,0.14348138567357274,0.40793833495191506,6,7,7,7,3,2,1.1428571428571428,109.85714285714286,214.99999999999997,2023-01-10 16:00:32,2023-12-21 17:00:50,346,0.2857142857142857,0.42857142857142855,0.2857142857142857
AC00003,5,1266.3400000000001,253.26800000000003,237.97,416.62,158.48475327298834,410.118,415.3196,7329.567999999999,1688.9,0.04745081221396765,0.10799581947111518,5,5,5,5,2,1,1.0,49.2,82.6,2023-01-02 16:45:05,2023-10-02 18:57:19,274,0.8,0.0,0.2
AC00004,9,2180.08,242.2311111111111,136.31,642.54,231.0815858330367,604.6719999999999,634.9663999999999,3340.956666666667,1019.46,0.09812451429844636,0.2860137003284975,9,9,9,9,3,1,1.0,104.33333333333333,174.8,2023-05-01 17:36:10,2024-01-01 16:08:49,245,0.2222222222222222,0.4444444444444444,0.3333333333333333
AC00005,9,3131.77,347.97444444444443,377.92,680.76,189.4872683131449,603.872,665.3824,4457.837777777778,572.97,0.2248967039954428,0.8229078082454309,9,9,9,9,2,1,1.0,145.11111111111111,217.2,2023-02-22 16:18:32,2023-12-04 18:01:53,286,0.0,0.7777777777777778,0.2222222222222222
AC00006,4,1017.72,254.43,165.845,611.15,241.72167727919367,545.4469999999998,598.0093999999999,2051.2625,420.67,0.25200876895838564,0.6085327515716981,4,3,4,4,2,1,1.0,177.75,275.09999999999997,2023-02-28 17:28:13,2023-10-05 16:46:31,219,0.75,0.0,0.25
AC00007,5,1495.3799999999999,299.07599999999996,162.63,637.75,240.23640696197566,603.528,630.9056,7428.594,634.17,0.09466752141899679,0.23550429465892442,5,5,5,5,3,1,1.0,121.4,257.59999999999997,2023-06-12 17:53:52,2023-11-27 17:34:33,168,0.4,0.4,0.2
AC00008,1,76.16,76.16,76.16,76.16,0.0,76.16,76.16,1072.25,1072.25,0.07102821170429374,0.07102821170429374,1,1,1,1,1,1,1.0,99.0,99.0,2023-11-21 16:45:29,2023-11-21 16:45:29,1,1.0,0.0,0.0
AC00009,5,984.08,196.816,153.59,425.18,144.05806513347318,388.76,417.896,2929.928,131.25,0.40929941562900385,1.4963157824108901,5,5,4,5,3,1,1.0,154.2,236.39999999999998,2023-02-14 16:21:23,2023-12-25 17:19:08,315,0.2,0.4,0.4
AC00010,7,2768.67,395.5242857142857,281.91,1086.6,433.6667895538056,1012.1909999999998,1071.7181999999998,5618.32,225.53,0.3000041094285381,1.0780102952645632,7,7,7,7,3,1,1.0,152.42857142857142,271.8,2023-01-12 17:10:03,2023-11-30 16:52:42,322,0.2857142857142857,0.2857142857142857,0.42857142857142855
AC00011,7,2438.26,348.3228571428572,304.31,733.29,305.3973512062761,719.8109999999999,730.5942,2679.1014285714286,201.04,0.3830980478937171,1.3898290821183408,6,5,7,7,3,5,1.5714285714285714,97.0,238.2999999999999,2023-03-15 18:42:16,2023-12-20 17:15:14,280,0.42857142857142855,0.2857142857142857,0.2857142857142857
AC00012,6,2067.78,344.63000000000005,223.145,927.45,352.0352257942378,843.23,910.6060000000001,4145.016666666666,1161.84,0.19426757927573046,0.6444810418970559,6,6,6,6,3,1,1.0,101.33333333333333,228.5,2023-03-21 16:36:30,2023-12-26 16:08:51,280,0.6666666666666666,0.16666666666666666,0.16666666666666666
AC00013,8,1631.28,203.91,155.515,427.69,150.54582235509372,425.98199999999997,427.34839999999997,4462.63125,416.37,0.11399517314089883,0.346651406116025,8,7,8,8,3,1,1.0,156.875,227.6,2023-02-20 16:52:03,2023-12-27 16:48:30,310,0.375,0.125,0.5
AC00014,9,3134.2799999999997,348.25333333333333,346.65,719.76,265.04227511851764,689.144,713.6368,6523.9977777777785,392.34,0.37203480441812675,1.3427981830711793,8,9,9,9,3,1,1.0,114.33333333333333,194.2,2023-03-30 17:50:23,2024-01-01 16:17:13,277,0.3333333333333333,0.4444444444444444,0.2222222222222222
AC00015,4,1148.74,287.185,161.68,774.48,336.84536813400496,695.8094999999998,758.7458999999999,3903.65,1181.84,0.08269429495372485,0.14786316063494534,4,4,4,4,3,1,1.0,79.0,140.7,2023-03-06 16:12:45,2023-11-06 16:28:15,246,0.25,0.5,0.25
AC00016,6,2271.9700000000003,378.6616666666667,192.23999999999998,1105.88,439.8123436383598,1005.7450000000001,1085.853,3985.7966666666666,164.12,0.2171966429534663,0.4245747606400706,6,6,6,6,3,1,1.0,114.0,216.0,2023-02-24 18:05:12,2023-10-16 17:43:00,234,0.5,0.16666666666666666,0.3333333333333333
AC00017,5,1133.45,226.69,215.39,492.84,169.64220922282283,446.59799999999996,483.59159999999997,3273.4739999999997,477.03,0.3123903940843893,0.792212376989106,5,5,5,5,2,1,1.0,111.8,202.79999999999998,2023-01-30 16:04:17,2023-11-27 17:39:39,302,0.6,0.4,0.0
AC00018,3,1658.6699999999998,552.89,331.32,1228.81,596.822852193178,1139.061,1210.8601999999998,8086.323333333334,1821.0,0.2368935758054086,0.6098575722467645,3,3,3,3,3,5,2.3333333333333335,186.0,245.29999999999998,2023-02-20 16:36:36,2023-08-11 16:18:46,172,0.3333333333333333,0.3333333333333333,0.3333333333333333
AC00019,4,948.19,237.0475,208.875,489.31,197.6933481219504,459.63249999999994,483.37449999999995,4981.91,1122.35,0.06188980668480662,0.1087621215885512,4,4,4,4,3,1,1.0,71.25,123.44999999999997,2023-02-08 16:29:56,2023-07-10 18:16:08,153,0.25,0.5,0.25
AC00020,9,3788.01,420.89000000000004,359.65,881.1,271.8111800956686,769.9519999999999,858.8704,3833.6277777777777,117.98,0.8787052057842981,3.723100220389045,9,8,9,9,3,1,1.0,138.44444444444446,257.4,2023-01-12 17:58:56,2023-11-13 16:46:06,305,0.4444444444444444,0.3333333333333333,0.2222222222222222
AC00021,8,4263.34,532.9175,451.58000000000004,1142.83,326.06849156712025,1009.7984999999998,1116.2236999999998,3631.3912499999997,207.1,0.6464953425750624,2.5560315841126857,8,8,8,8,3,1,1.0,131.5,273.9,2023-01-23 16:03:04,2023-12-08 16:36:30,320,0.25,0.625,0.125
AC00022,4,775.6800000000001,193.92000000000002,129.765,514.33,224.14321061916348,462.3804999999999,503.9401,6334.74,1592.94,0.09436595127918024,0.2816517402373367,4,4,4,4,2,1,1.0,75.0,146.34999999999997,2023-03-13 16:32:12,2023-08-24 16:01:40,164,0.0,0.75,0.25
AC00023,6,1251.74,208.62333333333333,193.985,422.9,124.46264092757579,380.905,414.50100000000003,3662.5466666666666,399.57,0.12809435909001426,0.38301407243441915,6,5,6,6,3,4,1.5,87.5,154.5,2023-02-27 16:15:53,2023-09-18 16:04:06,203,0.6666666666666666,0.16666666666666666,0.16666666666666666
AC00024,5,1426.94,285.38800000000003,84.89,820.46,338.4283671177699,741.074,804.5828,3440.032,680.55,0.07631412942277685,0.13630300611913748,5,5,5,5,3,1,1.0,114.8,220.2,2023-04-03 16:22:48,2023-10-30 16:36:24,211,0.2,0.2,0.6
AC00025,2,415.37,207.685,207.685,350.11,201.41936662098806,335.8675,347.2615,6009.835,4639.04,0.0421562097767844,0.07213894131980354,2,2,2,2,2,1,1.0,125.0,172.7,2023-03-13 17:10:34,2023-12-08 17:05:35,270,0.0,0.5,0.5
AC00026,6,952.11,158.685,119.17,329.69,119.17656292241355,316.835,327.119,4629.8516666666665,1236.38,0.05390368953092439,0.15832487427602457,5,5,6,6,2,1,1.0,148.66666666666666,198.25,2023-01-09 16:54:30,2023-10-30 17:24:55,295,0.0,0.3333333333333333,0.6666666666666666
AC00027,3,557.54,185.84666666666666,262.06,277.02,145.15396147998624,275.524,276.7208,9518.5,6381.6,0.01814741022731054,0.0309651323647858,3,3,3,3,2,1,1.0,186.0,225.6,2023-09-11 16:09:15,2023-11-20 16:29:14,71,0.3333333333333333,0.6666666666666666,0.0
AC00028,3,2170.17,723.39,398.36,1664.33,827.7553118524821,1537.7329999999997,1639.0105999999998,1610.4666666666665,1379.39,0.4465091803410304,0.9644506586000797,3,3,3,3,2,1,1.0,74.66666666666667,99.2,2023-02-07 17:38:18,2023-09-25 17:11:19,230,0.3333333333333333,0.6666666666666666,0.0
AC00029,6,1942.1200000000001,323.68666666666667,123.225,1192.95,444.4493077356142,992.3000000000001,1152.8200000000002,6264.863333333334,325.15,0.6516398296304086,2.791766215207066,6,6,6,6,3,1,1.0,138.5,269.0,2023-02-06 16:30:43,2023-12-04 18:30:00,302,0.6666666666666666,0.16666666666666666,0.16666666666666666
AC00030,9,2969.7,329.96666666666664,356.1,520.86,133.2458016224151,495.288,515.7456,5498.2877777777785,868.35,0.10762069195091617,0.31982394116505847,9,9,9,9,3,3,1.2222222222222223,139.55555555555554,190.6,2023-03-20 16:29:02,2023-10-25 16:13:39,219,0.4444444444444444,0.3333333333333333,0.2222222222222222
AC00032,9,3384.66,376.0733333333333,341.67,1020.73,299.5105850383255,845.3059999999998,985.6451999999999,3675.5722222222225,105.01,0.23463546596381382,0.7459626003089552,9,8,9,9,3,5,1.4444444444444444,105.44444444444444,196.19999999999996,2023-01-26 16:17:52,2023-12-19 16:39:57,328,0.2222222222222222,0.6666666666666666,0.1111111111111111
AC00033,6,900.99,150.165,55.480000000000004,397.01,158.74745790090623,374.2375,392.45550000000003,3460.8866666666668,719.52,0.13691248600943107,0.4667380947633005,6,6,6,6,2,1,1.0,74.83333333333333,127.0,2023-02-13 17:02:27,2023-12-19 16:46:08,309,0.8333333333333334,0.16666666666666666,0.0
AC00034,4,1007.9000000000001,251.97500000000002,148.73000000000002,637.97,263.4591011270377,572.5909999999999,624.8942,2910.24,746.47,0.11616611952832237,0.24217983658116413,4,4,4,4,3,1,1.0,77.75,124.84999999999998,2023-03-30 16:09:26,2023-10-23 17:17:18,208,0.25,0.25,0.5
AC00035,9,2151.17,239.0188888888889,171.16,813.78,251.69558704139234,677.0199999999999,786.428,6841.31,787.74,0.03877592127969025,0.07757180334261722,9,8,9,9,3,1,1.0,100.66666666666667,171.6,2023-05-19 16:52:53,2023-12-07 16:11:01,202,0.2222222222222222,0.2222222222222222,0.5555555555555556
AC00036,5,1608.4,321.68,71.95,740.25,369.00391149688375,734.286,739.0572,6564.382,1674.94,0.046836174665323624,0.1112646003832068,5,5,5,5,2,1,1.0,89.8,121.4,2023-02-13 16:39:52,2023-07-19 17:03:58,157,0.2,0.0,0.8
AC00037,2,253.25,126.625,126.625,173.45,66.22055005812017,168.76749999999998,172.5135,7725.1,6372.58,0.01581491595165801,0.018778179713855807,2,2,2,2,1,1,1.0,118.5,156.75,2023-12-22 17:17:34,2023-12-25 16:25:43,3,1.0,0.0,0.0
AC00038,1,301.73,301.73,301.73,301.73,0.0,301.73,301.73,990.74,990.74,0.30455013424278365,0.30455013424278365,1,1,1,1,1,1,1.0,163.0,163.0,2023-06-27 16:40:58,2023-06-27 16:40:58,1,0.0,0.0,1.0
AC00039,7,2120.76,302.96571428571434,139.57,737.46,294.0599527793124,706.68,731.304,3446.2971428571427,271.78,0.42056334588316474,1.1376578169362654,7,7,7,7,3,4,1.7142857142857142,113.14285714285714,231.79999999999993,2023-01-03 16:28:03,2023-11-17 17:59:11,319,0.2857142857142857,0.42857142857142855,0.2857142857142857
AC00040,5,2925.57,585.114,294.15,1237.56,482.408759953631,1183.1799999999998,1226.684,5260.7699999999995,167.28,0.5313825987984448,1.2476533291295244,4,5,5,5,3,1,1.0,121.2,162.2,2023-01-05 16:22:12,2023-12-18 17:22:16,348,0.6,0.2,0.2
AC00041,7,1149.68,164.24,124.59,371.69,150.19008156333095,364.715,370.29499999999996,3217.4000000000005,129.29,0.21073521430184455,0.7767411413204125,7,7,7,7,3,1,1.0,167.85714285714286,268.5,2023-02-02 16:20:28,2023-12-22 16:27:49,324,0.14285714285714285,0.42857142857142855,0.42857142857142855
AC00042,5,1054.04,210.808,221.49,336.05,89.46389282833606,318.122,332.4644,2019.3020000000001,707.25,0.15809550255978388,0.2916423619472302,5,5,5,5,2,1,1.0,138.6,245.6,2023-01-18 16:48:32,2023-09-13 18:11:22,239,0.4,0.6,0.0
AC00043,4,2014.75,503.6875,487.97499999999997,729.38,220.2331384957011,718.3444999999999,727.1729,6327.0175,3075.97,0.09114170471534597,0.13839574173407826,4,4,4,4,3,2,1.25,98.0,153.79999999999998,2023-01-31 16:58:42,2023-11-14 17:23:43,288,0.5,0.25,0.25
AC00044,1,487.32,487.32,487.32,487.32,0.0,487.32,487.32,7707.96,7707.96,0.06322295393332825,0.06322295393332825,1,1,1,1,1,1,1.0,164.0,164.0,2023-10-19 18:11:23,2023-10-19 18:11:23,1,0.0,1.0,0.0
AC00045,5,1845.12,369.024,244.64,1074.29,400.67363568121124,909.2219999999999,1041.2764,4162.487999999999,364.72,0.24293551874342417,0.5555043941005549,4,5,5,5,2,1,1.0,86.8,163.79999999999998,2023-01-05 16:43:14,2023-09-11 17:51:17,250,0.0,0.8,0.2
AC00046,3,1069.95,356.65000000000003,98.87,942.7,508.7564858554631,858.317,925.8234,4855.713333333334,533.2,0.12399219954278408,0.18522060434338916,3,3,3,3,2,1,1.0,156.0,251.9,2023-01-03 17:51:07,2023-11-06 16:24:45,307,0.0,0.3333333333333333,0.6666666666666666
